latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-33.848858,151.19551,86.0,36000,Australia/Sydney,GMT+10

time,precipitation_sum (mm),wind_gusts_10m_max (km/h),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°)
2019-11-14,0.00,55.1,27.0,6
2019-11-15,0.00,52.6,27.8,297
2019-11-16,0.80,52.6,23.5,127
2019-11-17,1.70,53.3,25.0,141
2019-11-18,0.00,54.7,26.4,28
2019-11-19,0.00,64.1,33.5,134
2019-11-20,0.00,40.7,19.5,135
2019-11-21,0.00,55.4,29.0,33
2019-11-22,0.00,62.6,30.6,157
2019-11-23,5.20,43.9,15.5,148
2019-11-24,0.90,40.0,20.4,160
2019-11-25,0.00,56.5,26.4,7
2019-11-26,0.20,85.0,35.9,307
2019-11-27,0.00,43.6,20.0,59
2019-11-28,0.00,57.6,28.8,49
2019-11-29,0.10,47.2,21.9,46
2019-11-30,5.20,81.7,31.8,170
2019-12-01,1.90,45.7,20.0,97
2019-12-02,0.60,80.3,37.3,274
2019-12-03,0.00,38.2,15.0,291
2019-12-04,0.00,39.6,16.0,356
2019-12-05,0.00,38.9,19.5,274
2019-12-06,0.00,49.7,21.8,186
2019-12-07,0.30,47.2,20.5,99
2019-12-08,0.00,55.8,25.8,74
2019-12-09,0.00,60.8,30.1,42
2019-12-10,0.00,69.5,32.8,167
2019-12-11,0.00,49.0,22.7,173
2019-12-12,0.50,46.1,20.5,155
2019-12-13,3.10,44.3,19.3,93
2019-12-14,0.50,47.2,21.6,86
2019-12-15,1.60,50.4,23.8,47
2019-12-16,0.00,59.8,31.3,170
2019-12-17,0.00,38.5,15.6,103
2019-12-18,0.00,54.4,26.6,32
2019-12-19,0.00,72.7,36.4,189
2019-12-20,0.00,46.1,21.2,102
2019-12-21,0.00,87.5,41.3,109
2019-12-22,0.10,53.6,26.1,172
2019-12-23,0.40,43.2,20.4,57
2019-12-24,4.30,43.2,19.5,74
2019-12-25,2.30,46.8,21.1,62
2019-12-26,0.00,60.1,29.5,43
2019-12-27,0.00,58.0,28.3,43
2019-12-28,0.00,58.0,30.1,35
2019-12-29,0.00,46.4,24.8,49
2019-12-30,0.00,53.3,27.4,41
2019-12-31,0.00,74.9,37.9,56
2020-01-01,0.00,47.9,19.6,168
2020-01-02,0.90,44.3,19.5,137
2020-01-03,1.70,54.4,26.3,67
2020-01-04,0.00,82.4,41.8,29
2020-01-05,0.20,79.6,34.6,169
2020-01-06,9.50,37.8,15.9,97
2020-01-07,0.70,43.6,20.3,37
2020-01-08,0.50,51.8,24.2,182
2020-01-09,1.00,45.4,21.6,176
2020-01-10,0.00,58.3,30.4,35
2020-01-11,2.10,85.3,39.6,170
2020-01-12,4.00,44.6,21.9,144
2020-01-13,0.20,40.7,20.1,80
2020-01-14,0.30,42.5,18.8,72
2020-01-15,0.00,44.6,21.7,49
2020-01-16,0.70,33.1,14.3,344
2020-01-17,34.10,60.1,31.3,187
2020-01-18,21.60,41.8,21.4,210
2020-01-19,4.20,33.1,15.9,196
2020-01-20,3.90,52.2,19.2,29
2020-01-21,0.00,44.6,17.7,263
2020-01-22,0.00,50.0,26.4,38
2020-01-23,0.00,51.5,26.4,342
2020-01-24,5.10,46.4,20.6,122
2020-01-25,3.50,37.8,17.8,65
2020-01-26,2.00,45.7,22.7,31
2020-01-27,1.50,42.8,22.4,152
2020-01-28,0.60,50.4,24.2,143
2020-01-29,1.90,41.4,19.6,159
2020-01-30,0.00,47.5,23.0,46
2020-01-31,0.00,56.9,30.2,38
2020-02-01,0.00,51.5,27.9,33
2020-02-02,6.00,51.5,25.5,151
2020-02-03,1.70,78.1,38.9,182
2020-02-04,0.50,59.8,30.0,154
2020-02-05,0.10,45.7,21.4,51
2020-02-06,10.70,43.2,20.9,72
2020-02-07,36.00,49.0,24.9,102
2020-02-08,29.30,60.5,30.4,108
2020-02-09,138.40,102.2,48.8,103
2020-02-10,21.10,66.6,28.1,51
2020-02-11,4.40,41.0,18.9,35
2020-02-12,4.40,37.1,18.1,91
2020-02-13,10.60,36.4,17.4,87
2020-02-14,0.90,42.1,19.7,159
2020-02-15,0.50,35.3,12.0,199
2020-02-16,2.10,44.3,20.3,180
2020-02-17,3.50,32.4,13.6,109
2020-02-18,0.00,45.4,24.0,26
2020-02-19,0.00,41.8,21.7,262
2020-02-20,0.20,42.1,19.3,171
2020-02-21,2.20,28.8,14.5,132
2020-02-22,4.10,31.7,14.9,102
2020-02-23,1.90,31.7,15.8,36
2020-02-24,0.40,36.4,18.1,29
2020-02-25,0.00,46.1,22.7,34
2020-02-26,1.50,76.3,40.6,257
2020-02-27,0.60,44.3,19.7,86
2020-02-28,0.30,46.4,21.7,179
2020-02-29,0.10,43.2,21.4,59
2020-03-01,0.00,43.9,23.4,30
2020-03-02,0.00,79.9,34.9,195
2020-03-03,3.90,38.2,18.8,165
2020-03-04,15.90,46.4,22.7,52
2020-03-05,42.80,46.8,23.7,33
2020-03-06,2.90,47.9,23.9,186
2020-03-07,4.30,46.8,22.8,178
2020-03-08,4.50,38.2,18.4,172
2020-03-09,4.70,42.8,20.2,167
2020-03-10,2.20,30.6,13.7,157
2020-03-11,0.30,34.2,16.1,94
2020-03-12,0.70,42.8,20.0,66
2020-03-13,0.00,38.2,18.6,21
2020-03-14,11.40,78.5,39.8,185
2020-03-15,4.00,50.4,24.3,185
2020-03-16,6.20,49.7,24.1,163
2020-03-17,1.70,31.3,13.6,190
2020-03-18,0.10,37.8,18.7,10
2020-03-19,0.00,28.1,15.3,341
2020-03-20,0.00,40.7,20.4,291
2020-03-21,1.30,45.0,20.7,166
2020-03-22,0.10,49.7,26.0,176
2020-03-23,3.20,50.8,26.0,166
2020-03-24,1.20,34.6,16.1,38
2020-03-25,9.40,46.8,21.7,170
2020-03-26,5.30,54.0,28.8,174
2020-03-27,1.10,34.2,15.6,118
2020-03-28,1.50,32.8,15.2,82
2020-03-29,1.40,40.7,19.9,33
2020-03-30,0.20,31.3,15.6,326
2020-03-31,1.50,33.1,14.8,180
2020-04-01,2.60,42.1,20.2,60
2020-04-02,10.80,37.1,16.2,14
2020-04-03,9.20,42.5,22.0,1
2020-04-04,2.70,72.0,30.9,322
2020-04-05,0.00,41.8,19.3,300
2020-04-06,0.20,38.2,18.4,209
2020-04-07,1.80,40.0,18.4,176
2020-04-08,35.30,36.7,17.7,180
2020-04-09,0.90,32.8,14.4,178
2020-04-10,6.10,45.0,17.1,352
2020-04-11,0.00,61.9,31.6,283
2020-04-12,0.00,41.8,21.7,246
2020-04-13,0.00,26.6,12.0,328
2020-04-14,0.00,25.2,11.2,351
2020-04-15,0.00,33.5,18.4,4
2020-04-16,0.00,40.0,20.5,324
2020-04-17,0.00,46.4,24.6,248
2020-04-18,0.00,47.2,25.1,239
2020-04-19,1.70,26.3,10.7,339
2020-04-20,0.00,29.2,13.9,299
2020-04-21,0.00,31.0,16.5,318
2020-04-22,0.00,40.7,17.6,260
2020-04-23,0.00,27.4,14.5,313
2020-04-24,0.00,31.0,13.9,279
2020-04-25,0.00,34.2,18.7,347
2020-04-26,0.00,45.7,23.4,291
2020-04-27,2.30,28.8,12.8,144
2020-04-28,0.10,41.8,19.6,38
2020-04-29,0.00,33.8,17.1,19
2020-04-30,16.00,57.6,21.8,329
2020-05-01,0.00,67.3,33.2,311
2020-05-02,0.00,60.1,30.2,288
2020-05-03,0.00,47.5,25.0,240
2020-05-04,0.00,46.4,22.7,233
2020-05-05,0.90,40.0,19.1,204
2020-05-06,0.00,25.6,13.9,330
2020-05-07,0.00,30.6,17.0,325
2020-05-08,0.00,32.4,17.1,332
2020-05-09,0.00,49.3,24.4,333
2020-05-10,0.00,63.4,32.0,251
2020-05-11,0.00,33.5,16.3,245
2020-05-12,0.00,27.7,15.0,333
2020-05-13,0.00,26.3,12.6,270
2020-05-14,2.70,49.3,24.5,186
2020-05-15,4.10,46.4,21.7,202
2020-05-16,0.40,26.3,11.2,169
2020-05-17,0.80,23.4,9.8,220
2020-05-18,0.30,19.8,8.9,297
2020-05-19,0.00,24.1,11.4,357
2020-05-20,0.00,47.9,20.1,341
2020-05-21,18.90,51.1,27.6,297
2020-05-22,34.40,71.6,35.8,250
2020-05-23,5.80,51.5,27.0,265
2020-05-24,2.10,60.1,30.8,228
2020-05-25,14.90,58.7,30.9,212
2020-05-26,10.10,55.8,29.4,187
2020-05-27,0.70,26.3,14.5,222
2020-05-28,0.10,27.7,12.6,266
2020-05-29,2.00,26.3,11.3,222
2020-05-30,0.00,26.3,13.8,344
2020-05-31,0.00,31.3,15.0,343
2020-06-01,0.00,49.7,25.3,323
2020-06-02,1.40,53.6,28.1,267
2020-06-03,0.00,53.3,28.5,230
2020-06-04,0.00,50.4,26.2,225
2020-06-05,0.00,24.8,12.0,293
2020-06-06,0.00,28.4,15.0,293
2020-06-07,3.90,31.0,15.1,224
2020-06-08,2.30,48.6,24.5,214
2020-06-09,1.60,32.8,13.6,203
2020-06-10,16.90,27.0,14.2,21
2020-06-11,0.60,39.2,19.8,216
2020-06-12,5.00,29.2,13.9,209
2020-06-13,0.00,26.6,14.6,348
2020-06-14,6.70,41.8,21.3,301
2020-06-15,0.00,26.3,11.9,296
2020-06-16,0.00,23.8,11.0,298
2020-06-17,2.30,42.1,21.1,184
2020-06-18,0.00,24.8,10.6,119
2020-06-19,0.00,23.4,12.5,342
2020-06-20,0.00,27.4,14.9,349
2020-06-21,5.60,37.4,16.6,342
2020-06-22,0.00,40.7,18.4,286
2020-06-23,0.00,42.5,20.9,276
2020-06-24,0.30,48.2,22.7,263
2020-06-25,0.00,37.1,17.9,262
2020-06-26,0.10,30.6,16.0,241
2020-06-27,1.80,36.4,17.7,204
2020-06-28,0.50,37.1,18.4,209
2020-06-29,1.30,26.6,12.9,202
2020-06-30,0.10,21.6,10.2,331
2020-07-01,0.00,32.8,17.1,331
2020-07-02,0.10,40.3,20.6,335
2020-07-03,0.40,34.6,18.4,264
2020-07-04,4.80,43.2,23.1,262
2020-07-05,0.00,50.4,26.6,252
2020-07-06,0.00,28.4,14.4,244
2020-07-07,1.40,35.3,17.0,228
2020-07-08,0.70,22.3,10.8,210
2020-07-09,0.10,27.4,8.9,336
2020-07-10,1.20,21.2,11.1,307
2020-07-11,6.40,19.1,7.7,280
2020-07-12,2.50,23.0,11.3,280
2020-07-13,3.60,29.2,15.5,256
2020-07-14,13.50,75.6,33.7,211
2020-07-15,2.00,63.0,29.1,223
2020-07-16,0.20,50.8,24.8,228
2020-07-17,0.70,47.9,23.2,215
2020-07-18,0.20,27.4,12.7,274
2020-07-19,0.00,32.4,18.2,312
2020-07-20,0.00,46.4,22.8,268
2020-07-21,0.00,37.1,19.8,233
2020-07-22,0.00,23.0,11.6,306
2020-07-23,0.00,24.8,11.2,284
2020-07-24,0.00,26.6,11.9,334
2020-07-25,3.00,30.6,10.9,347
2020-07-26,76.30,92.2,45.2,173
2020-07-27,23.30,57.6,28.3,245
2020-07-28,13.10,58.0,28.0,224
2020-07-29,0.00,31.0,14.3,229
2020-07-30,0.00,46.8,24.4,207
2020-07-31,0.00,33.5,17.8,204
2020-08-01,0.00,23.0,12.1,323
2020-08-02,0.00,25.9,12.6,303
2020-08-03,0.00,24.5,12.0,296
2020-08-04,0.00,43.9,24.3,291
2020-08-05,0.00,49.0,25.8,280
2020-08-06,0.00,37.4,19.9,245
2020-08-07,18.60,36.0,18.8,66
2020-08-08,4.00,33.8,16.2,274
2020-08-09,21.90,73.4,31.6,274
2020-08-10,12.90,90.0,45.3,174
2020-08-11,0.20,26.6,14.0,228
2020-08-12,0.60,23.8,12.8,352
2020-08-13,0.00,28.1,12.6,300
2020-08-14,5.80,25.6,9.9,328
2020-08-15,0.50,45.4,22.0,272
2020-08-16,0.00,42.8,21.7,281
2020-08-17,0.00,42.8,22.0,266
2020-08-18,1.40,38.2,17.1,325
2020-08-19,0.20,73.8,36.9,304
2020-08-20,0.00,56.2,27.8,282
2020-08-21,0.10,50.4,25.0,308
2020-08-22,0.20,64.1,27.8,289
2020-08-23,0.00,74.9,34.6,266
2020-08-24,0.00,49.0,23.7,259
2020-08-25,0.10,35.6,15.6,237
2020-08-26,0.00,29.9,14.7,301
2020-08-27,0.00,27.0,14.6,288
2020-08-28,0.00,41.8,20.8,250
2020-08-29,0.00,29.9,16.3,339
2020-08-30,0.00,25.9,13.6,339
2020-08-31,0.60,58.3,28.6,211
2020-09-01,0.10,34.9,16.3,76
2020-09-02,0.00,33.5,16.5,344
2020-09-03,0.00,58.3,26.6,333
2020-09-04,8.10,41.4,22.1,352
2020-09-05,0.60,43.2,18.4,237
2020-09-06,0.40,30.6,13.4,66
2020-09-07,0.00,43.6,20.9,26
2020-09-08,0.00,37.1,19.5,20
2020-09-09,16.10,55.4,28.6,182
2020-09-10,1.30,45.7,22.0,151
2020-09-11,0.00,35.3,16.6,58
2020-09-12,0.00,41.0,20.7,14
2020-09-13,0.00,31.0,16.8,297
2020-09-14,0.00,36.7,16.1,147
2020-09-15,0.80,43.9,22.1,33
2020-09-16,0.00,37.8,19.4,11
2020-09-17,0.60,70.6,36.0,228
2020-09-18,3.00,34.6,15.3,141
2020-09-19,2.40,52.2,27.3,44
2020-09-20,7.80,51.5,26.1,24
2020-09-21,2.30,40.3,21.6,358
2020-09-22,0.70,47.5,23.2,300
2020-09-23,0.50,38.9,19.5,292
2020-09-24,0.00,48.6,22.7,284
2020-09-25,0.90,67.3,30.9,322
2020-09-26,0.10,65.9,32.2,279
2020-09-27,0.20,44.6,21.4,224
2020-09-28,0.00,41.4,18.7,48
2020-09-29,0.30,37.1,18.7,69
2020-09-30,0.10,42.8,21.3,356
2020-10-01,0.70,45.7,19.3,305
2020-10-02,0.00,35.3,19.5,3
2020-10-03,0.00,51.1,27.6,29
2020-10-04,0.00,47.9,25.8,29
2020-10-05,0.00,73.4,33.1,2
2020-10-06,0.10,65.2,29.9,183
2020-10-07,5.50,25.9,13.3,151
2020-10-08,3.20,47.2,15.1,354
2020-10-09,0.00,56.9,26.2,272
2020-10-10,0.00,37.4,17.9,272
2020-10-11,0.00,45.4,22.9,356
2020-10-12,0.90,36.7,19.7,103
2020-10-13,0.00,49.3,25.2,127
2020-10-14,0.00,36.7,19.1,160
2020-10-15,0.00,47.5,21.9,24
2020-10-16,0.60,56.2,29.5,175
2020-10-17,0.60,59.8,24.0,29
2020-10-18,2.40,49.0,25.5,153
2020-10-19,1.40,40.0,18.7,155
2020-10-20,0.90,34.2,15.2,80
2020-10-21,0.00,45.4,22.7,32
2020-10-22,0.00,41.8,20.1,57
2020-10-23,0.00,52.2,27.4,39
2020-10-24,16.10,58.7,26.2,358
2020-10-25,29.10,63.4,33.5,181
2020-10-26,25.90,77.4,39.9,166
2020-10-27,5.40,48.6,23.8,186
2020-10-28,3.30,34.6,14.1,177
2020-10-29,9.50,35.3,17.4,179
2020-10-30,0.50,34.9,14.7,114
2020-10-31,28.90,65.9,29.8,92
2020-11-01,16.70,69.8,36.2,208
2020-11-02,0.00,47.2,22.5,179
2020-11-03,0.30,29.5,11.9,116
2020-11-04,0.00,40.7,20.2,16
2020-11-05,24.80,76.3,39.3,202
2020-11-06,3.70,63.0,31.4,189
2020-11-07,1.50,67.0,33.1,177
2020-11-08,0.00,44.3,20.4,143
2020-11-09,0.30,31.7,14.1,68
2020-11-10,0.00,41.0,19.3,41
2020-11-11,0.00,47.9,23.6,35
2020-11-12,0.80,41.0,19.3,16
2020-11-13,19.10,49.3,20.4,356
2020-11-14,0.00,42.5,18.4,102
2020-11-15,0.00,44.3,23.4,33
2020-11-16,0.00,59.4,29.9,37
2020-11-17,0.50,55.4,25.6,131
2020-11-18,0.40,46.1,22.0,60
2020-11-19,0.00,53.6,26.5,36
2020-11-20,0.00,62.6,32.1,54
2020-11-21,0.00,47.2,22.7,174
2020-11-22,0.00,36.7,17.8,1
2020-11-23,3.90,52.9,25.9,283
2020-11-24,0.00,52.2,25.2,171
2020-11-25,0.90,40.0,19.8,58
2020-11-26,0.00,62.3,30.9,119
2020-11-27,0.00,50.8,23.4,100
2020-11-28,0.00,45.4,21.9,328
2020-11-29,1.90,76.0,38.8,296
2020-11-30,0.20,44.6,21.4,115
2020-12-01,0.00,61.9,31.7,30
2020-12-02,0.50,56.5,28.4,151
2020-12-03,1.20,48.6,23.2,49
2020-12-04,0.00,41.0,21.5,148
2020-12-05,8.50,79.6,31.2,36
2020-12-06,0.00,55.1,27.6,299
2020-12-07,0.00,50.0,24.4,287
2020-12-08,0.10,50.8,25.7,198
2020-12-09,0.00,48.6,23.0,46
2020-12-10,0.50,82.1,40.3,165
2020-12-11,0.40,55.1,28.5,149
2020-12-12,1.40,50.4,22.9,121
2020-12-13,1.30,42.5,19.1,85
2020-12-14,3.30,42.8,21.2,77
2020-12-15,20.00,44.6,21.6,72
2020-12-16,6.80,52.2,26.1,48
2020-12-17,1.00,37.8,16.5,22
2020-12-18,2.30,59.0,30.2,240
2020-12-19,11.70,41.8,21.9,146
2020-12-20,5.70,35.6,16.8,106
2020-12-21,16.80,49.3,25.8,75
2020-12-22,11.20,48.2,24.3,277
2020-12-23,0.00,52.6,24.4,204
2020-12-24,0.20,46.8,23.1,30
2020-12-25,3.10,57.2,27.0,154
2020-12-26,4.40,49.0,24.2,48
2020-12-27,0.20,40.7,18.9,8
2020-12-28,0.70,61.2,29.9,167
2020-12-29,13.30,44.3,23.3,185
2020-12-30,5.50,44.3,22.6,137
2020-12-31,1.70,40.3,18.5,153
2021-01-01,2.00,43.6,21.3,152
2021-01-02,6.80,33.1,15.7,104
2021-01-03,4.40,41.4,20.6,39
2021-01-04,1.30,21.6,10.1,356
2021-01-05,0.80,40.7,21.6,123
2021-01-06,2.60,56.5,27.3,175
2021-01-07,2.40,48.2,23.7,168
2021-01-08,4.60,50.0,24.6,157
2021-01-09,0.10,36.0,15.6,142
2021-01-10,0.00,40.0,18.8,39
2021-01-11,0.00,46.1,22.9,35
2021-01-12,0.00,41.4,20.4,36
2021-01-13,0.00,46.4,22.3,41
2021-01-14,0.00,57.6,31.0,46
2021-01-15,0.00,49.0,24.0,152
2021-01-16,0.00,51.5,25.8,256
2021-01-17,0.00,42.8,17.3,157
2021-01-18,0.00,49.7,23.8,23
2021-01-19,2.70,60.1,29.1,169
2021-01-20,0.30,31.3,13.4,162
2021-01-21,0.00,45.4,22.2,30
2021-01-22,0.00,42.5,21.0,20
2021-01-23,0.00,47.2,23.8,63
2021-01-24,0.00,47.2,25.3,35
2021-01-25,0.00,51.5,26.2,41
2021-01-26,0.00,44.6,18.9,21
2021-01-27,9.40,64.1,31.9,173
2021-01-28,8.50,49.0,24.5,138
2021-01-29,12.00,46.8,24.7,76
2021-01-30,7.10,45.7,24.1,24
2021-01-31,4.00,47.5,23.9,161
2021-02-01,3.10,44.6,23.1,74
2021-02-02,20.70,48.2,22.8,185
2021-02-03,1.00,47.5,20.8,157
2021-02-04,0.00,50.8,24.2,35
2021-02-05,0.00,59.8,31.1,40
2021-02-06,15.40,47.5,24.9,18
2021-02-07,0.40,50.4,24.5,170
2021-02-08,3.40,48.6,23.4,173
2021-02-09,0.20,40.7,19.0,157
2021-02-10,1.20,31.3,13.9,108
2021-02-11,0.00,44.6,23.2,35
2021-02-12,0.40,43.6,21.1,16
2021-02-13,8.30,57.2,28.7,173
2021-02-14,1.80,51.8,25.6,186
2021-02-15,4.10,74.2,37.6,185
2021-02-16,3.20,46.8,22.8,132
2021-02-17,5.50,47.5,22.9,127
2021-02-18,2.20,42.1,20.8,99
2021-02-19,3.90,36.4,16.9,75
2021-02-20,1.00,33.1,14.5,71
2021-02-21,1.60,36.7,14.9,163
2021-02-22,1.10,55.1,28.1,187
2021-02-23,1.70,60.1,29.9,184
2021-02-24,5.30,33.5,17.1,140
2021-02-25,18.70,42.5,19.8,26
2021-02-26,0.30,50.4,23.9,150
2021-02-27,2.20,33.5,16.3,49
2021-02-28,0.10,31.7,13.8,149
2021-03-01,0.20,47.5,25.6,7
2021-03-02,0.90,53.6,25.1,171
2021-03-03,1.50,44.3,21.2,173
2021-03-04,0.80,38.9,18.8,355
2021-03-05,1.70,57.6,28.5,186
2021-03-06,0.00,40.7,19.2,178
2021-03-07,0.10,41.8,19.8,34
2021-03-08,0.10,32.8,15.5,347
2021-03-09,0.00,50.0,24.8,175
2021-03-10,1.50,36.7,17.0,97
2021-03-11,0.70,45.7,22.2,37
2021-03-12,8.50,42.1,21.1,22
2021-03-13,0.60,38.5,20.0,20
2021-03-14,23.50,60.8,30.8,191
2021-03-15,1.10,42.1,19.5,192
2021-03-16,4.80,39.6,20.9,163
2021-03-17,5.60,49.3,24.7,112
2021-03-18,34.60,48.2,24.2,97
2021-03-19,4.10,46.1,23.9,116
2021-03-20,67.20,69.8,37.0,95
2021-03-21,44.50,55.8,28.4,74
2021-03-22,50.90,49.3,24.9,53
2021-03-23,27.00,67.3,35.9,32
2021-03-24,0.00,48.2,20.7,295
2021-03-25,0.00,37.4,20.0,279
2021-03-26,1.50,33.5,15.8,217
2021-03-27,0.10,26.6,12.5,317
2021-03-28,0.00,34.9,16.0,184
2021-03-29,0.80,35.3,17.4,186
2021-03-30,0.50,45.0,21.7,188
2021-03-31,2.40,43.6,20.6,195
2021-04-01,0.50,28.8,13.1,232
2021-04-02,0.00,28.1,12.3,347
2021-04-03,0.00,36.0,16.9,13
2021-04-04,0.00,33.8,17.7,9
2021-04-05,0.70,33.5,15.8,168
2021-04-06,2.40,33.1,15.7,122
2021-04-07,9.00,28.1,11.7,129
2021-04-08,1.90,27.0,11.2,114
2021-04-09,0.20,67.3,28.5,257
2021-04-10,0.00,43.2,20.4,256
2021-04-11,0.00,62.3,28.5,268
2021-04-12,0.00,39.2,20.3,241
2021-04-13,0.00,32.4,17.2,337
2021-04-14,0.00,28.8,15.4,319
2021-04-15,0.00,27.4,15.0,272
2021-04-16,0.10,51.8,25.1,190
2021-04-17,0.30,20.9,10.8,273
2021-04-18,0.10,28.1,12.6,283
2021-04-19,0.00,25.6,11.8,323
2021-04-20,0.00,34.2,17.8,305
2021-04-21,0.00,45.0,22.3,227
2021-04-22,0.00,42.1,19.8,266
2021-04-23,0.00,40.0,18.9,265
2021-04-24,0.00,28.4,13.4,294
2021-04-25,0.40,30.6,13.7,229
2021-04-26,0.00,30.6,13.5,306
2021-04-27,0.10,32.4,15.1,209
2021-04-28,0.70,31.3,14.8,17
2021-04-29,0.00,29.2,13.4,23
2021-04-30,0.60,27.4,11.7,357
2021-05-01,1.70,34.9,11.9,31
2021-05-02,0.30,32.0,16.1,20
2021-05-03,0.00,27.4,14.8,352
2021-05-04,16.80,23.0,11.6,266
2021-05-05,28.70,45.4,24.1,189
2021-05-06,20.50,61.9,30.0,148
2021-05-07,10.30,42.5,21.0,180
2021-05-08,0.00,23.8,12.6,287
2021-05-09,0.00,20.2,10.9,289
2021-05-10,0.00,24.1,12.2,303
2021-05-11,0.40,26.6,10.7,296
2021-05-12,2.90,31.7,14.4,199
2021-05-13,0.60,33.5,17.9,267
2021-05-14,0.00,51.1,25.4,266
2021-05-15,0.00,56.5,28.5,275
2021-05-16,0.00,43.6,22.9,264
2021-05-17,0.00,45.7,24.3,257
2021-05-18,0.00,26.3,12.7,296
2021-05-19,0.00,23.8,11.0,315
2021-05-20,0.00,28.8,13.3,277
2021-05-21,2.20,32.8,17.4,217
2021-05-22,0.00,27.4,12.0,257
2021-05-23,0.90,33.8,16.3,228
2021-05-24,2.60,22.7,9.9,359
2021-05-25,0.20,37.8,20.0,9
2021-05-26,0.00,53.3,27.0,281
2021-05-27,0.00,43.6,21.5,260
2021-05-28,0.00,54.7,27.6,223
2021-05-29,0.20,56.9,26.4,224
2021-05-30,0.00,47.2,23.5,221
2021-05-31,0.00,25.9,12.4,296
2021-06-01,0.00,22.0,9.0,292
2021-06-02,0.00,24.1,11.6,322
2021-06-03,14.30,23.8,9.4,292
2021-06-04,0.30,45.4,21.0,252
2021-06-05,0.00,29.9,15.8,262
2021-06-06,0.00,31.3,15.6,275
2021-06-07,0.00,30.2,16.3,338
2021-06-08,6.40,44.3,21.2,3
2021-06-09,1.50,41.4,20.1,301
2021-06-10,6.80,34.2,17.2,333
2021-06-11,0.00,37.8,18.5,287
2021-06-12,0.00,38.5,20.2,313
2021-06-13,0.00,35.6,17.0,281
2021-06-14,0.00,28.4,15.4,258
2021-06-15,3.00,22.7,11.3,260
2021-06-16,2.70,31.7,14.8,330
2021-06-17,5.20,52.2,26.0,291
2021-06-18,1.50,55.4,27.9,268
2021-06-19,9.50,70.9,37.7,224
2021-06-20,6.20,54.7,27.4,204
2021-06-21,1.20,34.2,16.4,220
2021-06-22,0.30,25.6,13.5,290
2021-06-23,0.00,33.1,17.9,2
2021-06-24,4.90,43.9,18.7,352
2021-06-25,0.00,40.7,20.3,308
2021-06-26,0.00,43.9,21.6,294
2021-06-27,0.00,29.5,13.8,275
2021-06-28,1.70,37.4,18.4,217
2021-06-29,6.80,27.4,12.2,201
2021-06-30,2.50,31.0,9.0,5
2021-07-01,0.50,25.2,12.2,342
2021-07-02,0.00,27.7,13.5,322
2021-07-03,0.20,24.1,13.4,284
2021-07-04,0.00,32.4,14.9,286
2021-07-05,0.00,40.3,20.5,263
2021-07-06,0.00,35.6,19.1,261
2021-07-07,0.00,27.0,12.5,268
2021-07-08,0.00,23.0,11.5,310
2021-07-09,12.30,36.7,19.8,241
2021-07-10,10.80,63.4,32.1,215
2021-07-11,2.50,34.2,16.9,204
2021-07-12,0.10,23.8,12.8,342
2021-07-13,0.00,28.4,15.8,315
2021-07-14,1.90,37.8,19.5,344
2021-07-15,0.20,33.1,18.1,334
2021-07-16,0.10,65.9,32.8,305
2021-07-17,0.00,85.0,34.3,296
2021-07-18,0.00,60.5,31.3,265
2021-07-19,0.00,33.8,15.8,279
2021-07-20,0.10,54.4,26.4,297
2021-07-21,0.00,59.4,29.6,229
2021-07-22,0.00,31.0,16.6,321
2021-07-23,0.30,26.6,13.2,354
2021-07-24,0.00,51.8,26.2,310
2021-07-25,0.00,71.3,35.0,291
2021-07-26,1.30,48.2,23.5,305
2021-07-27,0.00,32.4,16.6,334
2021-07-28,0.10,59.4,30.8,333
2021-07-29,0.00,41.8,19.7,254
2021-07-30,0.00,28.8,15.1,324
2021-07-31,0.00,40.7,21.4,355
2021-08-01,0.50,45.7,24.0,287
2021-08-02,0.00,39.6,19.5,3
2021-08-03,3.10,53.6,26.8,309
2021-08-04,0.00,76.7,38.1,274
2021-08-05,0.00,47.9,25.0,262
2021-08-06,0.00,40.3,19.9,266
2021-08-07,0.00,38.5,20.3,263
2021-08-08,2.50,32.0,16.2,170
2021-08-09,0.00,30.6,13.9,3
2021-08-10,0.00,29.5,16.3,345
2021-08-11,0.00,45.0,22.5,344
2021-08-12,0.30,43.9,20.9,264
2021-08-13,0.00,30.6,13.7,271
2021-08-14,0.00,27.4,14.1,316
2021-08-15,0.00,31.0,14.7,284
2021-08-16,0.00,49.7,24.1,270
2021-08-17,0.00,45.0,20.4,238
2021-08-18,0.00,32.4,15.5,334
2021-08-19,0.00,33.1,15.3,11
2021-08-20,0.00,26.6,14.2,306
2021-08-21,0.30,31.7,13.5,312
2021-08-22,0.00,39.2,21.3,357
2021-08-23,0.80,51.8,24.9,344
2021-08-24,71.40,95.8,46.9,253
2021-08-25,3.40,73.1,34.8,253
2021-08-26,0.00,36.0,18.6,237
2021-08-27,0.00,42.5,20.5,273
2021-08-28,0.00,40.3,20.7,244
2021-08-29,0.50,34.2,12.6,328
2021-08-30,0.00,30.6,15.1,284
2021-08-31,0.00,29.2,15.9,334
2021-09-01,0.00,24.8,13.6,297
2021-09-02,0.00,52.9,26.0,30
2021-09-03,0.00,50.0,26.5,27
